buying,maint,doors,persons,lug_boot,safety,class_value,buying_target,maint_target,doors_target,persons_target,lug_boot_target,safety_target,class_value_target
,vhigh,,2,small,low,unacc,vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,,unacc,vhigh,vhigh,2,2,small,med,unacc
vhigh,vhigh,,2,,high,unacc,vhigh,vhigh,2,2,small,high,unacc
vhigh,vhigh,2,2,med,low,,vhigh,vhigh,2,2,med,low,unacc
vhigh,vhigh,,2,,med,unacc,vhigh,vhigh,2,2,med,med,unacc
,vhigh,2,2,med,high,unacc,vhigh,vhigh,2,2,med,high,unacc
,vhigh,2,,big,low,unacc,vhigh,vhigh,2,2,big,low,unacc
vhigh,,2,2,big,med,unacc,vhigh,vhigh,2,2,big,med,unacc
,vhigh,2,2,big,high,unacc,vhigh,vhigh,2,2,big,high,unacc
vhigh,vhigh,2,4,small,,unacc,vhigh,vhigh,2,4,small,low,unacc
vhigh,vhigh,2,,small,med,unacc,vhigh,vhigh,2,4,small,med,unacc
vhigh,vhigh,2,4,small,high,unacc,vhigh,vhigh,2,4,small,high,unacc
,vhigh,2,,,,unacc,vhigh,vhigh,2,4,med,low,unacc
vhigh,vhigh,,4,,med,unacc,vhigh,vhigh,2,4,med,med,unacc
vhigh,vhigh,,4,med,high,unacc,vhigh,vhigh,2,4,med,high,unacc
,vhigh,,4,,low,unacc,vhigh,vhigh,2,4,big,low,unacc
vhigh,,2,4,big,med,unacc,vhigh,vhigh,2,4,big,med,unacc
,vhigh,2,4,big,,unacc,vhigh,vhigh,2,4,big,high,unacc
vhigh,vhigh,2,,small,low,unacc,vhigh,vhigh,2,more,small,low,unacc
vhigh,vhigh,2,more,small,med,,vhigh,vhigh,2,more,small,med,unacc
vhigh,vhigh,2,more,,high,unacc,vhigh,vhigh,2,more,small,high,unacc
vhigh,,,more,med,low,unacc,vhigh,vhigh,2,more,med,low,unacc
vhigh,vhigh,,more,med,med,,vhigh,vhigh,2,more,med,med,unacc
vhigh,vhigh,2,,med,high,,vhigh,vhigh,2,more,med,high,unacc
vhigh,vhigh,,more,big,low,unacc,vhigh,vhigh,2,more,big,low,unacc
vhigh,vhigh,2,more,big,med,,vhigh,vhigh,2,more,big,med,unacc
vhigh,vhigh,2,more,big,high,unacc,vhigh,vhigh,2,more,big,high,unacc
vhigh,vhigh,,2,small,,unacc,vhigh,vhigh,3,2,small,low,unacc
vhigh,vhigh,3,2,small,med,unacc,vhigh,vhigh,3,2,small,med,unacc
,,3,,small,,,vhigh,vhigh,3,2,small,high,unacc
vhigh,vhigh,3,,med,,unacc,vhigh,vhigh,3,2,med,low,unacc
vhigh,vhigh,,2,med,med,unacc,vhigh,vhigh,3,2,med,med,unacc
vhigh,vhigh,,2,med,,unacc,vhigh,vhigh,3,2,med,high,unacc
vhigh,,3,2,big,low,unacc,vhigh,vhigh,3,2,big,low,unacc
vhigh,,,2,big,med,unacc,vhigh,vhigh,3,2,big,med,unacc
vhigh,vhigh,3,,big,high,unacc,vhigh,vhigh,3,2,big,high,unacc
,vhigh,3,4,small,low,unacc,vhigh,vhigh,3,4,small,low,unacc
vhigh,vhigh,3,4,small,med,unacc,vhigh,vhigh,3,4,small,med,unacc
vhigh,vhigh,3,,small,high,unacc,vhigh,vhigh,3,4,small,high,unacc
,vhigh,3,,med,,unacc,vhigh,vhigh,3,4,med,low,unacc
vhigh,,3,4,med,med,unacc,vhigh,vhigh,3,4,med,med,unacc
vhigh,vhigh,3,4,,high,unacc,vhigh,vhigh,3,4,med,high,unacc
,vhigh,3,4,big,,,vhigh,vhigh,3,4,big,low,unacc
vhigh,vhigh,3,4,,med,unacc,vhigh,vhigh,3,4,big,med,unacc
vhigh,,3,4,big,high,unacc,vhigh,vhigh,3,4,big,high,unacc
vhigh,vhigh,3,more,small,low,unacc,vhigh,vhigh,3,more,small,low,unacc
vhigh,vhigh,,more,small,med,unacc,vhigh,vhigh,3,more,small,med,unacc
,,3,,,high,unacc,vhigh,vhigh,3,more,small,high,unacc
vhigh,vhigh,3,,med,low,unacc,vhigh,vhigh,3,more,med,low,unacc
,vhigh,3,,,med,unacc,vhigh,vhigh,3,more,med,med,unacc
vhigh,vhigh,3,more,med,high,unacc,vhigh,vhigh,3,more,med,high,unacc
vhigh,vhigh,3,more,big,,,vhigh,vhigh,3,more,big,low,unacc
vhigh,,,,big,med,unacc,vhigh,vhigh,3,more,big,med,unacc
,vhigh,3,more,big,high,unacc,vhigh,vhigh,3,more,big,high,unacc
vhigh,vhigh,4,2,small,low,unacc,vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,small,med,unacc,vhigh,vhigh,4,2,small,med,unacc
,vhigh,4,2,small,,unacc,vhigh,vhigh,4,2,small,high,unacc
vhigh,vhigh,4,,med,low,unacc,vhigh,vhigh,4,2,med,low,unacc
vhigh,vhigh,,2,med,med,unacc,vhigh,vhigh,4,2,med,med,unacc
vhigh,vhigh,,2,med,,unacc,vhigh,vhigh,4,2,med,high,unacc
vhigh,vhigh,4,,big,,unacc,vhigh,vhigh,4,2,big,low,unacc
,,4,,,,unacc,vhigh,vhigh,4,2,big,med,unacc
,vhigh,4,2,big,high,,vhigh,vhigh,4,2,big,high,unacc
vhigh,vhigh,4,4,small,low,unacc,vhigh,vhigh,4,4,small,low,unacc
vhigh,vhigh,,4,small,med,unacc,vhigh,vhigh,4,4,small,med,unacc
vhigh,vhigh,4,4,small,high,,vhigh,vhigh,4,4,small,high,unacc
vhigh,vhigh,4,4,med,,unacc,vhigh,vhigh,4,4,med,low,unacc
vhigh,vhigh,4,4,med,,unacc,vhigh,vhigh,4,4,med,med,unacc
,,4,4,,high,unacc,vhigh,vhigh,4,4,med,high,unacc
vhigh,vhigh,4,4,big,low,unacc,vhigh,vhigh,4,4,big,low,unacc
,vhigh,4,4,big,med,unacc,vhigh,vhigh,4,4,big,med,unacc
vhigh,vhigh,4,4,,,,vhigh,vhigh,4,4,big,high,unacc
vhigh,vhigh,4,more,,low,unacc,vhigh,vhigh,4,more,small,low,unacc
,,4,more,small,med,unacc,vhigh,vhigh,4,more,small,med,unacc
vhigh,vhigh,4,more,small,high,unacc,vhigh,vhigh,4,more,small,high,unacc
vhigh,,4,more,,low,unacc,vhigh,vhigh,4,more,med,low,unacc
vhigh,vhigh,,more,,med,unacc,vhigh,vhigh,4,more,med,med,unacc
vhigh,vhigh,4,more,med,high,unacc,vhigh,vhigh,4,more,med,high,unacc
vhigh,vhigh,4,more,,low,unacc,vhigh,vhigh,4,more,big,low,unacc
,,4,more,big,med,unacc,vhigh,vhigh,4,more,big,med,unacc
vhigh,vhigh,4,more,big,high,,vhigh,vhigh,4,more,big,high,unacc
vhigh,vhigh,,2,,low,,vhigh,vhigh,5more,2,small,low,unacc
,,5more,2,small,med,unacc,vhigh,vhigh,5more,2,small,med,unacc
vhigh,vhigh,5more,2,small,,,vhigh,vhigh,5more,2,small,high,unacc
vhigh,vhigh,5more,2,med,low,unacc,vhigh,vhigh,5more,2,med,low,unacc
vhigh,,5more,2,med,,unacc,vhigh,vhigh,5more,2,med,med,unacc
vhigh,vhigh,5more,2,med,high,unacc,vhigh,vhigh,5more,2,med,high,unacc
,vhigh,5more,2,big,low,unacc,vhigh,vhigh,5more,2,big,low,unacc
,vhigh,5more,2,,,unacc,vhigh,vhigh,5more,2,big,med,unacc
vhigh,,5more,2,big,high,unacc,vhigh,vhigh,5more,2,big,high,unacc
vhigh,,5more,4,small,,unacc,vhigh,vhigh,5more,4,small,low,unacc
vhigh,vhigh,5more,4,small,med,unacc,vhigh,vhigh,5more,4,small,med,unacc
,vhigh,,4,small,,,vhigh,vhigh,5more,4,small,high,unacc
vhigh,vhigh,5more,4,med,low,unacc,vhigh,vhigh,5more,4,med,low,unacc
vhigh,vhigh,5more,4,med,med,,vhigh,vhigh,5more,4,med,med,unacc
,vhigh,5more,4,,high,unacc,vhigh,vhigh,5more,4,med,high,unacc
,vhigh,5more,4,big,low,unacc,vhigh,vhigh,5more,4,big,low,unacc
vhigh,vhigh,5more,4,big,med,unacc,vhigh,vhigh,5more,4,big,med,unacc
vhigh,vhigh,5more,,big,high,unacc,vhigh,vhigh,5more,4,big,high,unacc
,vhigh,5more,,small,low,unacc,vhigh,vhigh,5more,more,small,low,unacc
vhigh,vhigh,5more,more,small,med,,vhigh,vhigh,5more,more,small,med,unacc
