AREA,PERIMETER,CIT0002_,CIT0002_ID,FPL,STATFIPS,PLACFIPS,NAME,STATE,TOTALPOP,HOUSEUNT,LANDAREA,WATRAREA,LAT,LONG,observed
0.00116,0.1969,205.0,3.0,56180,35,56180,Peralta CDP,NM,3182,1237,11812.0,0.0,+34.829541,-106.687428,
0.0,0.00364,171.0,64.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.01249,200.0,84.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00896,152.0,46.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.02102,263.0,15.0,0,,,,,0,0,0.0,0.0,,,
2e-05,0.01563,264.0,16.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00537,265.0,17.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.01586,196.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
3e-05,0.02281,286.0,1.0,5220,35,05220,Artesia city,NM,10610,4510,21321.0,35.0,+32.847450,-104.429710,
0.00013,0.05466,307.0,7.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.01079,112.0,7.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00369,135.0,23.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.01416,137.0,24.0,0,,,,,0,0,0.0,0.0,,,
4e-05,0.02614,136.0,5.0,79910,35,79910,Tucumcari city,NM,6831,3164,19081.0,32.0,+35.167449,-103.727482,
0.0,0.00319,125.0,16.0,0,,,,,0,0,0.0,0.0,,,
8e-05,0.03772,126.0,17.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.01053,130.0,3.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00756,169.0,62.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.01471,187.0,79.0,0,,,,,0,0,0.0,0.0,,,
0.0002,0.05815,105.0,1.0,48620,35,48620,Milan village,NM,1911,735,6959.0,12.0,+35.188963,-107.891958,
4e-05,0.03661,109.0,51.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.01163,113.0,8.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00727,156.0,48.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00657,170.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
5e-05,0.0345,103.0,19.0,0,,,,,0,0,0.0,0.0,,,
4e-05,0.03133,106.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
0.0,0.01098,140.0,31.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00257,176.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
0.00045,0.13369,104.0,2.0,17960,35,17960,Corrales village,NM,5453,2196,27766.0,1367.0,+35.234953,-106.619968,
0.00023,0.20484,221.0,8.0,33710,35,33710,House village,NM,85,54,2382.0,0.0,+34.647968,-103.903281,
0.0009,0.14734,203.0,1.0,34655,35,34655,Isleta Pueblo CDP,NM,1703,637,12663.0,0.0,+34.882215,-106.683394,
0.00142,0.16872,227.0,2.0,82570,35,82570,Vaughn town,NM,633,371,14510.0,0.0,+34.606558,-105.212285,
3e-05,0.03266,218.0,12.0,0,,,,,0,0,0.0,0.0,,,
6e-05,0.03836,304.0,1.0,83200,35,83200,Virden village,NM,108,48,580.0,0.0,+32.688553,-109.001969,
5e-05,0.03789,309.0,8.0,0,,,,,0,0,0.0,0.0,,,
