AREA,PERIMETER,GEO0003_,GEO0003_ID,ACREAGE,PERCENT,KMDANAME,FAV_CODE,FAV,VALUE,observed
0.005,0.275,260.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.234,207.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.251,204.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.304,118.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.102,104.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.113,254.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.109,216.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.142,103.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.059,126.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.126,141.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.114,255.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.109,259.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.09,249.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.081,203.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.132,219.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.062,236.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.985,8.594,47.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.058,251.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.112,252.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.018,0.985,52.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.13,239.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.124,261.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.09,262.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.221,169.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.211,265.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.007,0.329,247.0,2.0,0.0,0.0,,2,MODERATE,0.0,
29.488,74.942,2.0,1.0,0.0,0.0,,1,LOW,0.0,
0.001,0.151,150.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.115,155.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.006,0.316,176.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.246,125.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.142,117.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.113,137.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.017,0.994,217.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.2,214.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.027,0.727,3.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.124,4.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.074,5.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.064,6.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.35,7.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.068,2.806,8.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.372,9.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.019,0.644,10.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.049,11.0,3.0,0.0,0.0,,3,HIGH,0.0,
