"city","County","State","zip","x","y"
"Danville ","Caledonia","Vermont","05828","-72.140305","44.411013"
"Parma ","Cuyahoga","Ohio","44130","-81.7285969","41.375118"
"Kalamazoo","Kalamazoo","Michigan","49007","-85.574887","42.296024"
"Six Mile","","South Carolina","29682","-82.8187","34.8042"
"Lamar ","Barton","Missouri","64759","-94.2746191","37.495628"
"New York","New York","New York","10029","-73.9493","40.7939"
"Nashville","Davidson","Tennessee","37204","-86.790709","36.11837"
"New York","New York","New York","10027","-73.9482477","40.8089533"
"Wilmington","New Castle","Delaware","19801","-75.53446","39.742117"
"Washington","District of Columbia","District of Columbia","20009","-77.0320505","38.9169984"
"Washington ","District of Columbia","District of Columbia","20011","-77.0334486","38.9559783"
"New York","New York","New York","10033","-73.9378024","40.8459583"
"Minneapolis","Hennepin","Minnesota","55413","-93.2591","45.0044"
"Richmond","Henrico","Virginia","23219","-77.4886","37.5583"
"Philadelphia","Philadelphia","Pennsylvania","19146","-75.173431","39.940943"
"Scottsbluff","Scotts Bluff","Nebraska","69361","-103.662538","41.864268"
"Charleston","Coles","Illinois","61920","-88.163254","39.490737"
"Chiefland","Levy","Florida","32626","-82.8578732","29.4848541"
"Woodinville","King","Washington","98072","-122.1569875","47.7502397"
"Topeka","Shawnee","Kansas","66604","-95.714514","39.028184"
"Philadelphia","Philadelphia","Pennsylvania","19146","-75.181286","39.932257"
"Highlands","Monmouth","New Jersey","07732","-73.994358","40.404837"
"North Logan","Cache","Utah","84341","-111.8206049","41.7782437"
"Philadelphia","Philadelphia","Pennsylvania","19129","-75.1722883","40.0040946"
"Philadelphia","Philadelphia","Pennsylvania","19146","-75.19204","39.9373"
"Amherst","Amherst","Virginia","24521","-79.048573","37.583311"
"Dayton","Montgomery","Ohio","45402","-84.18103","39.762593"
"Morris","Grundy","Illinois","60450","-88.425186","41.356383"
"Rosemary Beach","Walton","Florida","32461","-86.002754","30.279017"
"Ewing","Mercer","New Jersey","08618","-74.783264","40.267025"
"Baltimore","Baltimore","Maryland","21218","-76.611","39.3272"
"Philadelphia","Philadelphia","Pennsylvania","19121","-75.187167","39.988802"
"Indianapolis","Marion","Indiana","46208","-86.158459","39.825071"
"Sparks","Washoe","Nevada","89431","-119.754962","39.534773"
"Carson City","Carson City","Nevada","89703","-119.7678","39.16257"
"Rochester","Monroe","New York","14609","-77.5666043","43.1658344"
"Philadelphia","Philadelphia","Pennsylvania","19133","-75.138654","39.991748"
"Larimer","","Colorado","","-105.073","40.3954"
"Indianapolis","","Indiana","46226","-86.0476","39.8481"
"Philadelphia","Philadelphia","Pennsylvania","19139","-75.224492","39.965054"
"New York","New York","New York","10019","-73.985839","40.768159"
"Philadelphia","Philadelphia","Pennsylvania","19143","-75.228303","39.935721"
"Chicago","Cook","Illinois","60637","-87.5905903","41.7841364"
"Tacoma","Pierce","Washington","98406","-122.4736263","47.255403"
"Tempe ","Maricopa","Arizona","85281","-111.939512","33.42442"
"New York","New York","New York","10024","-73.9757","40.7818"
"New York","New York","New York","10028","-73.95009","40.773749"
"Dothan","Houston","Alabama","","-85.449944","31.232252"
"Cedar Rapids","Linn","Iowa","52401","-91.6626534","41.972837"
"New York","New York","New York","10128","-73.946421","40.780931"
"New York","New York","New York","10025","-73.967012","40.79356"
"Salina","Saline","Kansas","67401","-97.6117504","38.8528359"
"SALT LAKE CITY","Salt Lake","Utah","84110","-111.9195223","40.7470177"
