street,city,County,State,zip,x,y
6975 Ridge Road,Parma ,Cuyahoga,Ohio,44130,-81.7285969,41.375118
507 Harrison St,Kalamazoo,Kalamazoo,Michigan,49007,-85.574887,42.296023999999996
10th Street and Poplar,Lamar ,Barton,Missouri,64759,-94.2746191,37.495628
112th Madison Avenue,New York,New York,New York,10029,-73.9493,40.7939
3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,-86.79070899999999,36.11837
"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,-73.94824770000001,40.8089533
12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,-75.53446,39.742117
1400 U Street NW ,Washington,District of Columbia,District of Columbia,20009,-77.0320505,38.9169984
"5500 Colorado Avenue, NW",Washington ,District of Columbia,District of Columbia,20011,-77.03344859999999,38.9559783
175th Street at Wadsworth Ave,New York,New York,New York,10033,-73.93780240000001,40.8459583
1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,-93.2591,45.0044
17th & Main Streets,Richmond,Henrico,Virginia,23219,-77.4886,37.5583
18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,-75.17343100000001,39.940943
18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,-103.662538,41.864268
825 18th Street,Charleston,Coles,Illinois,61920,-88.16325400000001,39.490737
NE 7th Ave,Chiefland,Levy,Florida,32626,-82.85787320000001,29.484854100000003
13701 NE 171st Street,Woodinville,King,Washington,98072,-122.1569875,47.75023970000001
SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,-95.71451400000001,39.028184
22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.181286,39.932257
71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732,-73.99435799999999,40.404837
475 East 2500 North,North Logan,Cache,Utah,84341,-111.8206049,41.778243700000004
26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,-75.17228829999999,40.0040946
29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.19204,39.9373
194 second street,Amherst,Amherst,Virginia,24521,-79.048573,37.583311
600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,-84.18103,39.762593
123 W. Illinois ave. ,Morris,Grundy,Illinois,60450,-88.425186,41.356383
Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,-86.00275400000001,30.279017
1928 Pennington Road,Ewing,Mercer,New Jersey,08618,-74.783264,40.267025
E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,-76.611,39.3272
N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,-75.187167,39.988802
3808 N Meridian St,Indianapolis,Marion,Indiana,46208,-86.158459,39.825071
Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,-119.754962,39.534773
3rd & Curry Street,Carson City,Carson City,Nevada,89703,-119.7678,39.16257
441 Parsells Avenue,Rochester,Monroe,New York,14609,-77.5666043,43.1658344
N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,-75.138654,39.991748
N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,-75.224492,39.965053999999995
W 57 St. & 9 Ave,New York,New York,New York,10019,-73.985839,40.768159000000004
58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,-75.228303,39.935721
6100 S Blackstone Ave,Chicago,Cook,Illinois,60637,-87.59059029999999,41.7841364
6th and Pine,Tacoma,Pierce,Washington,98406,-122.4736263,47.255403
6th Street and Mill Avenue,Tempe ,Maricopa,Arizona,85281,-111.93951200000001,33.42442
Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.7818
E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.95009,40.773749
8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,-91.66265340000001,41.972837
1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.946421,40.780931
W 97 St. & Columbus,New York,New York,New York,10025,-73.967012,40.79356
304 West Grand Avenue,Salina,Saline,Kansas,67401,-97.6117504,38.8528359
1060 South 900 West,SALT LAKE CITY,Salt Lake,Utah,84110,-111.9195223,40.7470177
Lee Rd. Farm,Boynton Beach ,Palm Beach,Florida,33473,-80.221052,26.489351
27 W Potomac Street,Brunswick,Frederick,Maryland,21716,-77.6277075,39.313066
229 Lake Ella Drive,Tallahassee ,Leon,Florida,32303,-84.2792304,30.462471299999997
402 North Murray Avenue,Anderson,Anderson,South Carolina,29624,-82.652159,34.506706
"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401,-76.6123,39.006
118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,-82.38024200000001,34.177429
1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405,-90.30714499999999,44.945665000000005
"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401,-98.4866,45.4631
East 1st & Buckeye St.,Abilene,Dickinson,Kansas,67410,-97.2139,38.9153
Corner of Remsburg Drive & Cummings St,Abingdon ,Washington,Virginia,24210,-81.977094,36.708934
W12 St. & 8th Ave,New York,New York,New York,10014,-74.00528,40.737177
362 Plymouth Street,Abington,Plymouth,Massachusetts,02351,-70.9369,42.119
22049 Main St.,Abita Springs,St. Tammany,Louisiana,70420,-90.03891290000001,30.4793215
801 Foreman Drive,Opelousas,Lafayette,Louisiana,70570,-92.0634,30.2147
RR1 Box 146,Birch Tree,Shannon,Missouri,65438,-91.492638,36.991165
6701 140th Ave. North,Loxahatchee,Palm Beach,Florida,33470,-80.263351,26.775639
1 Pearl St,Acton,Middlesex,Massachusetts,01720,-71.47415,42.47518
186 Leonard Street,Acushnet,Bristol,Massachusetts,02743,-70.900663,41.720546999999996
12th Street and Townsend,Ada,Pontotoc,Oklahoma,74820,-96.679869,34.773589
7239 Thornapple River Dr.,Ada,Kent,Michigan,49301,-85.4889683,42.955371500000005
7446 Ga 140,Adairsville,Bartow,Georgia,30103,-84.929569,34.375727000000005
Lincoln Square ,Gettysburg,Adams,Pennsylvania,17325,-77.23076400000001,39.830706
1863 Gettysburg Village Dr,Gettysburg,Adams,Pennsylvania,17325,-77.201576,39.794081
Adams Visitors Center  3 Hoosac St,Adams,Berkshire,Massachusetts,01220,-73.118003,42.6244919
18th St. and Columbia Rd. NW,Washington,District of Columbia,District of Columbia,20009,-77.042643,38.922637
79-7500 Mamalahoa Highway,Kealakekua,Hawaii,Hawaii,96750,-155.923558,19.525757000000002
Gresham Rd,Brooklyn,Kings,New York,11231-1235,-74.0231,40.6875
One Friendship Plaza,Addison,DuPage,Illinois,60101,-87.9934,41.9321
Courthouse Square,Adel,Dallas,Iowa,50830,-94.0175,41.6144
