function,runtime_seconds,target_stdev,target_variance,target_num_unique,num_rows,target_is_numerical,algo,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,0.0584239959717,,,3,438,False,LogRC,0.882352941176,0.892694063927,,
run_classifier,0.0508451461792,,,3,438,False,DTC,0.764705882353,0.954337899543,,
run_classifier,0.0743219852448,,,3,438,False,SVC,0.898395721925,0.901826484018,,
run_classifier,0.387044906616,,,3,438,False,RFC,0.770053475936,0.949771689498,,
run_regressor,0.494802951813,0.344124865973,0.118421923381,4,438,True,RFR,,,4.51777193361,0.753930261498
run_regressor,0.0829429626465,0.344124865973,0.118421923381,4,438,True,SVR,,,4.83870450429,0.749805450006
run_regressor,0.0425801277161,0.344124865973,0.118421923381,4,438,True,LinR,,,5.33459732696,0.925111707426
run_classifier,0.0457789897919,0.344124865973,0.118421923381,4,438,True,LogRC,0.0,0.39497716895,,
run_classifier,0.0408220291138,0.344124865973,0.118421923381,4,438,True,DTC,0.00534759358289,0.449771689498,,
run_classifier,0.083927154541,0.344124865973,0.118421923381,4,438,True,SVC,0.0,0.367579908676,,
run_classifier,0.341888904572,0.344124865973,0.118421923381,4,438,True,RFC,0.0,0.436073059361,,
run_regressor,0.456804990768,0.351149944471,0.123306283502,5,438,True,RFR,,,2.8811582404,1.242407937
run_regressor,0.0708999633789,0.351149944471,0.123306283502,5,438,True,SVR,,,3.50974067386,1.28100438246
run_regressor,0.0349798202515,0.351149944471,0.123306283502,5,438,True,LinR,,,3.03315415519,1.65587700466
run_classifier,0.0503430366516,0.351149944471,0.123306283502,5,438,True,LogRC,0.181818181818,0.310502283105,,
run_classifier,0.0466001033783,0.351149944471,0.123306283502,5,438,True,DTC,0.181818181818,0.367579908676,,
run_classifier,0.0932729244232,0.351149944471,0.123306283502,5,438,True,SVC,0.192513368984,0.312785388128,,
run_classifier,0.350788831711,0.351149944471,0.123306283502,5,438,True,RFC,0.176470588235,0.37899543379,,
run_regressor,0.433702945709,0.35365173704,0.125069551111,5,438,True,RFR,,,1.94897211081,1.20104216259
run_regressor,0.0693850517273,0.35365173704,0.125069551111,5,438,True,SVR,,,1.8358740949,1.25431970001
run_regressor,0.0327000617981,0.35365173704,0.125069551111,5,438,True,LinR,,,2.0823784483,1.57979649939
run_classifier,0.0528120994568,0.35365173704,0.125069551111,5,438,True,LogRC,0.251336898396,0.326484018265,,
run_classifier,0.0486149787903,0.35365173704,0.125069551111,5,438,True,DTC,0.245989304813,0.37899543379,,
run_classifier,0.0865190029144,0.35365173704,0.125069551111,5,438,True,SVC,0.251336898396,0.315068493151,,
run_classifier,0.339950084686,0.35365173704,0.125069551111,5,438,True,RFC,0.283422459893,0.37899543379,,
run_regressor,0.445546865463,0.353751440726,0.125140081816,5,438,True,RFR,,,1.79887932041,1.25061399532
run_regressor,0.0750551223755,0.353751440726,0.125140081816,5,438,True,SVR,,,1.66478902052,1.29454904546
run_regressor,0.0382599830627,0.353751440726,0.125140081816,5,438,True,LinR,,,2.00940130097,1.59284572134
run_classifier,0.0519239902496,0.353751440726,0.125140081816,5,438,True,LogRC,0.27807486631,0.324200913242,,
run_classifier,0.0432178974152,0.353751440726,0.125140081816,5,438,True,DTC,0.256684491979,0.358447488584,,
run_classifier,0.100200176239,0.353751440726,0.125140081816,5,438,True,SVC,0.262032085561,0.308219178082,,
run_classifier,0.344887018204,0.353751440726,0.125140081816,5,438,True,RFC,0.251336898396,0.360730593607,,
