function,runtime_seconds,target_stdev,target_variance,target_num_unique,num_rows,target_is_numerical,algo,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,30.0507760048,,,26,14000,False,LogRC,0.709666666667,0.719857142857,,
run_classifier,0.888788938522,,,26,14000,False,DTC,0.852833333333,0.9735,,
run_classifier,51.1074018478,,,26,14000,False,SVC,0.114666666667,0.122785714286,,
run_classifier,1.89280200005,,,26,14000,False,RFC,0.92,0.984785714286,,
run_regressor,4.05094504356,0.127489500235,0.0162535726702,15,14000,True,RFR,,,0.241496569142,0.0851675677539
run_regressor,52.6821808815,0.127489500235,0.0162535726702,15,14000,True,SVR,,,0.422106177846,0.207347716607
run_regressor,0.08340883255,0.127489500235,0.0162535726702,15,14000,True,LinR,,,0.607313829685,0.595599139574
run_classifier,13.0692610741,0.127489500235,0.0162535726702,15,14000,True,LogRC,0.481166666667,0.481428571429,,
run_classifier,0.693382024765,0.127489500235,0.0162535726702,15,14000,True,DTC,0.692666666667,0.931214285714,,
run_classifier,86.8758530617,0.127489500235,0.0162535726702,15,14000,True,SVC,0.457166666667,0.429642857143,,
run_classifier,1.7058839798,0.127489500235,0.0162535726702,15,14000,True,RFC,0.731,0.931285714286,,
run_regressor,4.23661088943,0.220719438876,0.0487170706978,16,14000,True,RFR,,,1.54418398999,0.572093828572
run_regressor,48.9487519264,0.220719438876,0.0487170706978,16,14000,True,SVR,,,1.72152329227,1.31343326473
run_regressor,0.085168838501,0.220719438876,0.0487170706978,16,14000,True,LinR,,,2.393014694,2.39939455926
run_classifier,16.8194580078,0.220719438876,0.0487170706978,16,14000,True,LogRC,0.304333333333,0.3325,,
run_classifier,0.828022003174,0.220719438876,0.0487170706978,16,14000,True,DTC,0.563166666667,0.893571428571,,
run_classifier,93.2875440121,0.220719438876,0.0487170706978,16,14000,True,SVC,0.305166666667,0.274428571429,,
run_classifier,1.78100919724,0.220719438876,0.0487170706978,16,14000,True,RFC,0.582,0.892785714286,,
run_regressor,3.9325671196,0.133707213768,0.0178776190136,15,14000,True,RFR,,,0.262586813806,0.089301173349
run_regressor,52.1495380402,0.133707213768,0.0178776190136,15,14000,True,SVR,,,0.436528231216,0.197854603761
run_regressor,0.0788331031799,0.133707213768,0.0178776190136,15,14000,True,LinR,,,0.602329569118,0.592966474597
run_classifier,12.0652909279,0.133707213768,0.0178776190136,15,14000,True,LogRC,0.4245,0.432071428571,,
