function,runtime_seconds,target_stdev,target_variance,target_num_unique,num_rows,target_is_numerical,algo,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,0.275899887085,,,3,2924,False,LogRC,0.550678371907,0.560533515732,,
run_classifier,0.1502161026,,,3,2924,False,DTC,0.509976057462,0.90047879617,,
run_classifier,2.00719881058,,,3,2924,False,SVC,0.315243415802,0.860807113543,,
run_classifier,0.527719020844,,,3,2924,False,RFC,0.517956903432,0.894664842681,,
run_regressor,1.16908597946,0.182108490585,0.0331635023431,134,2924,True,RFR,,,13.0863350182,4.51176014592
run_regressor,0.0449838638306,0.182108490585,0.0331635023431,134,2924,True,LinR,,,13.6192406886,14.0639615049
run_classifier,13.335103035,,,134,2924,False,LogRC,0.0430965682362,0.093707250342,,
run_classifier,0.817276000977,,,134,2924,False,DTC,0.0869912210694,0.821477428181,,
run_classifier,10.7576489449,,,134,2924,False,SVC,0.0159616919393,0.0249658002736,,
run_classifier,1.80545592308,,,134,2924,False,RFC,0.102952913009,0.817373461012,,
run_regressor,1.21913790703,0.182347399924,0.0332505742591,110,2924,True,RFR,,,10.0202819899,2.98332117343
run_regressor,0.0506680011749,0.182347399924,0.0332505742591,110,2924,True,LinR,,,9.47864232688,8.86632100034
run_classifier,11.3705718517,,,110,2924,False,LogRC,0.0670391061453,0.0827633378933,,
run_classifier,0.719830989838,,,110,2924,False,DTC,0.12370311253,0.826949384405,,
run_classifier,8.3747651577,,,110,2924,False,SVC,0.0375099760575,0.031805745554,,
run_classifier,1.48468804359,,,110,2924,False,RFC,0.125299281724,0.827633378933,,
run_regressor,1.22573494911,0.155651673793,0.0242274435547,51,2924,True,RFR,,,9.04391238805,3.07930232558
run_regressor,0.0542089939117,0.155651673793,0.0242274435547,51,2924,True,LinR,,,8.00183230117,8.89540098407
run_classifier,5.37935113907,,,51,2924,False,LogRC,0.122905027933,0.14876880985,,
run_classifier,0.393336057663,,,51,2924,False,DTC,0.114126097366,0.824897400821,,
run_classifier,5.36920785904,,,51,2924,False,SVC,0.0582601755786,0.0666894664843,,
run_classifier,0.999179124832,,,51,2924,False,RFC,0.141260973663,0.819425444596,,
run_regressor,1.09571290016,0.271964871096,0.0739648911102,1971,2924,True,RFR,,,3334.87234903,1548.16695698
run_regressor,0.0412499904633,0.271964871096,0.0739648911102,1971,2924,True,LinR,,,3997.63282603,3991.2486944
run_classifier,187.170180082,,,1971,2924,False,LogRC,0.00319233838787,0.0396716826265,,
run_classifier,8.99897408485,,,1971,2924,False,DTC,0.0047885075818,0.800615595075,,
run_classifier,438.066226006,,,1971,2924,False,SVC,0.00159616919393,0.00273597811218,,
run_classifier,15.9304640293,,,1971,2924,False,RFC,0.00558659217877,0.803693570451,,
run_regressor,1.09306311607,0.254395478583,0.0647170595235,1359,2924,True,RFR,,,3708.27314002,1374.01105487
run_regressor,0.0452489852905,0.254395478583,0.0647170595235,1359,2924,True,LinR,,,4189.96702717,4366.4670551
run_classifier,146.044558048,,,1359,2924,False,LogRC,0.000798084596967,0.0376196990424,,
run_classifier,6.54487991333,,,1359,2924,False,DTC,0.0047885075818,0.801983584131,,
run_classifier,272.530610085,,,1359,2924,False,SVC,0.0,0.00376196990424,,
run_classifier,11.4961919785,,,1359,2924,False,RFC,0.00638467677574,0.801641586867,,
run_regressor,1.15980195999,0.236854774685,0.056100184291,822,2924,True,RFR,,,2501.97977831,778.287868977
run_regressor,0.0469648838043,0.236854774685,0.056100184291,822,2924,True,LinR,,,2703.85822476,2668.81169483
run_classifier,89.4484148026,,,822,2924,False,LogRC,0.00558659217877,0.0341997264022,,
run_classifier,4.20993494987,,,822,2924,False,DTC,0.00877893056664,0.802667578659,,
run_classifier,105.558480978,,,822,2924,False,SVC,0.0,0.00478796169631,,
run_classifier,7.22002291679,,,822,2924,False,RFC,0.00558659217877,0.801299589603,,
run_regressor,1.08707499504,0.248963065981,0.0619826082229,801,2924,True,RFR,,,2361.34394254,634.236903785
run_regressor,0.0470008850098,0.248963065981,0.0619826082229,801,2924,True,LinR,,,2357.11769918,1921.92753114
run_classifier,84.9130210876,,,801,2924,False,LogRC,0.0207501995211,0.0574555403557,,
run_classifier,3.78071713448,,,801,2924,False,DTC,0.024740622506,0.80779753762,,
run_classifier,97.0201649666,,,801,2924,False,SVC,0.00718276137271,0.0123119015048,,
run_classifier,6.72099208832,,,801,2924,False,RFC,0.0526735833998,0.808481532148,,
run_regressor,1.15352511406,0.124025232999,0.0153822584205,27,2924,True,RFR,,,4.87867340605,1.62497036024
run_regressor,0.0539751052856,0.124025232999,0.0153822584205,27,2924,True,LinR,,,4.23917129464,4.93618933762
run_classifier,2.76256513596,,,27,2924,False,LogRC,0.260175578611,0.280437756498,,
run_classifier,0.264838933945,,,27,2924,False,DTC,0.210694333599,0.836525307798,,
run_classifier,4.63761496544,,,27,2924,False,SVC,0.164405426975,0.165526675787,,
run_classifier,0.773920059204,,,27,2924,False,RFC,0.256185155626,0.833447332421,,
