function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,0.924800872803,,,LogRC,False,4,19640,False,White King File,0.276259505703,0.500610997963,,
run_classifier,0.366017103195,,,DTC,False,4,19640,False,White King File,0.253564638783,0.77433808554,,
run_classifier,2.17513799667,,,RFC,False,4,19640,False,White King File,0.25558460076,0.770926680244,,
run_regressor,1.91157102585,,,RFR,False,4,19640,False,White King File,,,1.29026100433,0.217277444002
run_regressor,0.0879909992218,,,LinR,False,4,19640,False,White King File,,,0.999050663336,0.509549032312
run_classifier,1.21575403214,0.321248305704,0.103200473917,LogRC,False,4,19640,True,White King Rank,0.512357414449,0.429276985743,,
run_classifier,0.40154004097,0.321248305704,0.103200473917,DTC,False,4,19640,True,White King Rank,0.43322243346,0.75549898167,,
run_classifier,2.17353606224,0.321248305704,0.103200473917,RFC,False,4,19640,True,White King Rank,0.420270912548,0.751018329939,,
run_regressor,1.90445613861,0.321248305704,0.103200473917,RFR,False,4,19640,True,White King Rank,,,1.10304014062,0.250069497711
run_regressor,0.104917049408,0.321248305704,0.103200473917,LinR,False,4,19640,True,White King Rank,,,0.71091641455,0.6614729305
run_classifier,2.23100805283,,,LogRC,False,8,19640,False,White Rook File,0.0682034220532,0.157688391039,,
run_classifier,0.69648194313,,,DTC,False,8,19640,False,White Rook File,0.0931558935361,0.425101832994,,
run_classifier,2.29280185699,,,RFC,False,8,19640,False,White Rook File,0.0691539923954,0.422556008147,,
run_regressor,2.41293406487,,,RFR,False,8,19640,False,White Rook File,,,7.66578237239,2.97431579737
run_regressor,0.103329896927,,,LinR,False,8,19640,False,White Rook File,,,5.76510954309,5.08477462405
run_classifier,2.41303110123,0.318066796689,0.101166487156,LogRC,False,8,19640,True,White Rook Rank,0.0835313688213,0.162627291242,,
run_classifier,0.492892980576,0.318066796689,0.101166487156,DTC,False,8,19640,True,White Rook Rank,0.116920152091,0.41099796334,,
run_classifier,2.74430990219,0.318066796689,0.101166487156,RFC,False,8,19640,True,White Rook Rank,0.0780655893536,0.407739307536,,
run_regressor,2.26115107536,0.318066796689,0.101166487156,RFR,False,8,19640,True,White Rook Rank,,,7.06763657169,3.34468086622
run_regressor,0.103908061981,0.318066796689,0.101166487156,LinR,False,8,19640,True,White Rook Rank,,,5.83830771009,4.94547829371
run_classifier,2.37034988403,,,LogRC,False,8,19640,False,Black King File,0.057747148289,0.224134419552,,
run_classifier,0.861833810806,,,DTC,False,8,19640,False,Black King File,0.0627376425856,0.528156822811,,
run_classifier,2.50619292259,,,RFC,False,8,19640,False,Black King File,0.0647576045627,0.525,,
run_regressor,2.20227718353,,,RFR,False,8,19640,False,Black King File,,,8.51661436433,1.85119195209
run_regressor,0.107323884964,,,LinR,False,8,19640,False,Black King File,,,2.9353971365,5.98625362399
run_classifier,2.51710700989,0.345861806343,0.119620389087,LogRC,False,8,19640,True,Black King Rank,0.0627376425856,0.192362525458,,
run_classifier,0.500522851944,0.345861806343,0.119620389087,DTC,False,8,19640,True,Black King Rank,0.0703422053232,0.537729124236,,
run_classifier,2.31927895546,0.345861806343,0.119620389087,RFC,False,8,19640,True,Black King Rank,0.0543013307985,0.535896130346,,
run_regressor,2.15262198448,0.345861806343,0.119620389087,RFR,False,8,19640,True,Black King Rank,,,11.7651889237,1.22150623898
run_regressor,0.091089963913,0.345861806343,0.119620389087,LinR,False,8,19640,True,Black King Rank,,,3.04626394707,5.590107139
run_classifier,3.94445204735,,,LogRC,False,15,19640,False,Endgame,0.0,0.278869653768,,
run_classifier,0.988660097122,,,DTC,False,15,19640,False,Endgame,0.00130703422053,0.965224032587,,
run_classifier,2.82980513573,,,RFC,False,15,19640,False,Endgame,0.00142585551331,0.953818737271,,
run_regressor,1.92068386078,,,RFR,False,15,19640,False,Endgame,,,35.2510329531,2.84956664404
run_regressor,0.0936679840088,,,LinR,False,15,19640,False,Endgame,,,17.218304257,33.0170282113
