function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,2136.7941792,0.180379593208,0.0325367976457,LogRC,False,71,21114,True,age,0.052608311229,0.062091503268,,
run_classifier,43.7043790817,0.180379593208,0.0325367976457,DTC,False,71,21114,True,age,0.0950486295314,0.688074263522,,
run_classifier,147.472651005,0.180379593208,0.0325367976457,RFC,False,71,21114,True,age,0.0918435013263,0.649616368286,,
run_regressor,101.562741041,0.180379593208,0.0325367976457,RFR,False,71,21114,True,age,,,103.73134189,104.471943559
run_regressor,4.00414395332,0.180379593208,0.0325367976457,LinR,False,71,21114,True,age,,,146.395492777,150.686066479
run_classifier,106.64095211,,,LogRC,False,7,21114,False,workclass,0.744805481874,0.736336080326,,
run_classifier,9.35164809227,,,DTC,False,7,21114,False,workclass,0.752984084881,0.744719143696,,
run_classifier,95.8235948086,,,RFC,False,7,21114,False,workclass,0.752210433245,0.744624419816,,
run_regressor,101.501296997,,,RFR,False,7,21114,False,workclass,,,0.864424482502,0.851805764706
run_regressor,4.27778196335,,,LinR,False,7,21114,False,workclass,,,0.885986781618,0.901065627278
run_classifier,319.705379009,,,LogRC,False,16,21114,False,education,0.515141467728,0.533437529601,,
run_classifier,9.11434984207,,,DTC,False,16,21114,False,education,1.0,1.0,,
run_classifier,97.6765401363,,,RFC,False,16,21114,False,education,1.0,1.0,,
run_regressor,98.2789320946,,,RFR,False,16,21114,False,education,,,0.0,0.0
run_regressor,4.50308203697,,,LinR,False,16,21114,False,education,,,12.8383645318,12.610886011
run_classifier,438.599424124,0.168739911729,0.0284731578104,LogRC,False,16,21114,True,education-num,0.610300618921,0.621720185659,,
run_classifier,9.33487892151,0.168739911729,0.0284731578104,DTC,False,16,21114,True,education-num,1.0,1.0,,
run_classifier,97.4538030624,0.168739911729,0.0284731578104,RFC,False,16,21114,True,education-num,1.0,1.0,,
run_regressor,99.3213729858,0.168739911729,0.0284731578104,RFR,False,16,21114,True,education-num,,,0.0,0.0
run_regressor,4.46838498116,0.168739911729,0.0284731578104,LinR,False,16,21114,True,education-num,,,5.56505190315,5.36585325377
run_classifier,128.007239103,,,LogRC,False,7,21114,False,marital-status,0.68899204244,0.680401629251,,
run_classifier,9.73483300209,,,DTC,False,7,21114,False,marital-status,0.836317418214,0.842710997442,,
run_classifier,96.0335130692,,,RFC,False,7,21114,False,marital-status,0.83709106985,0.842710997442,,
run_regressor,99.8012981415,,,RFR,False,7,21114,False,marital-status,,,1.65848914765,1.57884431312
run_regressor,4.7855257988,,,LinR,False,7,21114,False,marital-status,,,1.97089792886,2.0017090516
run_classifier,265.274992943,,,LogRC,False,14,21114,False,occupation,0.308908045977,0.313820214076,,
run_classifier,10.7645299435,,,DTC,False,14,21114,False,occupation,0.32283377542,0.346215780998,,
run_classifier,98.7776968479,,,RFC,False,14,21114,False,occupation,0.322612732095,0.3273657289,,
run_regressor,101.062247992,,,RFR,False,14,21114,False,occupation,,,15.4730592555,15.5326744571
run_regressor,4.2401740551,,,LinR,False,14,21114,False,occupation,,,15.8064302578,16.0061856247
run_classifier,105.323110104,,,LogRC,False,6,21114,False,relationship,0.644341290893,0.638675760159,,
run_classifier,9.49322509766,,,DTC,False,6,21114,False,relationship,0.78050397878,0.790991759022,,
run_classifier,97.5260989666,,,RFC,False,6,21114,False,relationship,0.779730327144,0.789334091124,,
run_regressor,100.073097944,,,RFR,False,6,21114,False,relationship,,,0.78966958654,0.766787065305
run_regressor,4.52265095711,,,LinR,False,6,21114,False,relationship,,,1.52465755349,1.53586810261
run_classifier,80.7008259296,,,LogRC,False,5,21114,False,race,0.858532272325,0.860329639102,,
run_classifier,8.4230120182,,,DTC,False,5,21114,False,race,0.881631299735,0.882637112816,,
run_classifier,95.6355891228,,,RFC,False,5,21114,False,race,0.881631299735,0.882637112816,,
run_regressor,102.834285021,,,RFR,False,5,21114,False,race,,,0.533885428607,0.511324354996
run_regressor,4.4463160038,,,LinR,False,5,21114,False,race,,,0.681625729162,0.670546082553
run_classifier,21.373349905,,,LogRC,False,2,21114,False,sex,0.775419982317,0.771715449465,,
run_classifier,8.03824210167,,,DTC,False,2,21114,False,sex,0.835985853227,0.850667803353,,
run_classifier,95.0456390381,,,RFC,False,2,21114,False,sex,0.83565428824,0.849767926494,,
run_regressor,99.098263979,,,RFR,False,2,21114,False,sex,,,0.10086153563,0.0979921144142
run_regressor,3.81114506721,,,LinR,False,2,21114,False,sex,,,0.139564892078,0.140660697116
run_classifier,2244.06072211,0.0731735108547,0.00535436269081,LogRC,False,113,21114,True,capital-gain,0.912024756852,0.917495500616,,
run_classifier,20.6925480366,0.0731735108547,0.00535436269081,DTC,False,113,21114,True,capital-gain,0.911803713528,0.917211328976,,
run_classifier,116.296820164,0.0731735108547,0.00535436269081,RFC,False,113,21114,True,capital-gain,0.912024756852,0.917495500616,,
run_regressor,103.215905905,0.0731735108547,0.00535436269081,RFR,False,113,21114,True,capital-gain,,,53730264.8118,49757945.3014
run_regressor,4.40614199638,0.0731735108547,0.00535436269081,LinR,False,113,21114,True,capital-gain,,,56053429.3039,52162590.8662
run_classifier,1679.49692512,0.0925404907228,0.00856374242322,LogRC,False,86,21114,True,capital-loss,0.952807250221,0.952638060055,,
run_classifier,17.4265480042,0.0925404907228,0.00856374242322,DTC,False,86,21114,True,capital-loss,0.952586206897,0.952495974235,,
run_classifier,112.183032036,0.0925404907228,0.00856374242322,RFC,False,86,21114,True,capital-loss,0.952807250221,0.952638060055,,
run_regressor,102.461310148,0.0925404907228,0.00856374242322,RFR,False,86,21114,True,capital-loss,,,161578.782842,157649.028401
run_regressor,4.55538511276,0.0925404907228,0.00856374242322,LinR,False,86,21114,True,capital-loss,,,162910.813103,160211.765515
run_classifier,1931.68119907,0.121582992914,0.014782424166,LogRC,False,92,21114,True,hours-per-week,0.469053934571,0.47395093303,,
run_classifier,21.2396979332,0.121582992914,0.014782424166,DTC,False,92,21114,True,hours-per-week,0.472369584439,0.476555839727,,
run_classifier,113.527612209,0.121582992914,0.014782424166,RFC,False,92,21114,True,hours-per-week,0.470159151194,0.475845410628,,
run_regressor,103.609086037,0.121582992914,0.014782424166,RFR,False,92,21114,True,hours-per-week,,,120.431337964,114.778544794
run_regressor,4.15938997269,0.121582992914,0.014782424166,LinR,False,92,21114,True,hours-per-week,,,129.548297373,125.748255149
run_classifier,817.207651138,,,LogRC,False,41,21114,False,native-country,0.911251105217,0.912143601402,,
run_classifier,12.3390009403,,,DTC,False,41,21114,False,native-country,0.915782493369,0.917779672255,,
run_classifier,103.724649906,,,RFC,False,41,21114,False,native-country,0.914898320071,0.917400776736,,
run_regressor,103.014621019,,,RFR,False,41,21114,False,native-country,,,31.1361762065,33.3055079672
run_regressor,4.34117507935,,,LinR,False,41,21114,False,native-country,,,34.8154271667,36.7768717156
