function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,0.178045034409,,,LogRC,False,3,438,False,Class Name,0.561497326203,0.74200913242,,
run_classifier,0.134079217911,,,DTC,False,3,438,False,Class Name,0.566844919786,0.748858447489,,
run_classifier,12.472140789,,,RFC,False,3,438,False,Class Name,0.508021390374,0.751141552511,,
run_regressor,13.1410341263,,,RFR,False,3,438,False,Class Name,,,0.438143296065,0.274887980734
run_regressor,0.129288911819,,,LinR,False,3,438,False,Class Name,,,0.434776782036,0.284587837128
run_classifier,0.192984104156,0.344124865973,0.118421923381,LogRC,False,4,438,True,Left-Weight,0.0,0.388127853881,,
run_classifier,0.135730028152,0.344124865973,0.118421923381,DTC,False,4,438,True,Left-Weight,0.0,0.401826484018,,
run_classifier,12.3404381275,0.344124865973,0.118421923381,RFC,False,4,438,True,Left-Weight,0.0,0.408675799087,,
run_regressor,13.2425320148,0.344124865973,0.118421923381,RFR,False,4,438,True,Left-Weight,,,5.00817550339,0.973620454575
run_regressor,0.128574132919,0.344124865973,0.118421923381,LinR,False,4,438,True,Left-Weight,,,5.42296042844,1.01264551736
run_classifier,0.201406002045,0.351149944471,0.123306283502,LogRC,False,5,438,True,Left-Distance,0.283422459893,0.287671232877,,
run_classifier,0.132418870926,0.351149944471,0.123306283502,DTC,False,5,438,True,Left-Distance,0.31550802139,0.324200913242,,
run_classifier,12.4477109909,0.351149944471,0.123306283502,RFC,False,5,438,True,Left-Distance,0.326203208556,0.324200913242,,
run_regressor,13.2660429478,0.351149944471,0.123306283502,RFR,False,5,438,True,Left-Distance,,,1.52599457022,1.65701564705
run_regressor,0.128262042999,0.351149944471,0.123306283502,LinR,False,5,438,True,Left-Distance,,,1.75301779379,1.83071695064
run_classifier,0.210000038147,0.35365173704,0.125069551111,LogRC,False,5,438,True,Right-Weight,0.272727272727,0.331050228311,,
run_classifier,0.143355846405,0.35365173704,0.125069551111,DTC,False,5,438,True,Right-Weight,0.304812834225,0.337899543379,,
run_classifier,12.4897880554,0.35365173704,0.125069551111,RFC,False,5,438,True,Right-Weight,0.272727272727,0.340182648402,,
run_regressor,13.1913311481,0.35365173704,0.125069551111,RFR,False,5,438,True,Right-Weight,,,2.42386591084,1.41863011894
run_regressor,0.13341999054,0.35365173704,0.125069551111,LinR,False,5,438,True,Right-Weight,,,2.2585136472,1.63076934792
run_classifier,0.211441040039,0.353751440726,0.125140081816,LogRC,False,5,438,True,Right-Distance,0.283422459893,0.326484018265,,
run_classifier,0.141887903214,0.353751440726,0.125140081816,DTC,False,5,438,True,Right-Distance,0.310160427807,0.337899543379,,
run_classifier,12.3658270836,0.353751440726,0.125140081816,RFC,False,5,438,True,Right-Distance,0.294117647059,0.324200913242,,
run_regressor,13.3047029972,0.353751440726,0.125140081816,RFR,False,5,438,True,Right-Distance,,,2.09639013997,1.46921236985
run_regressor,0.136063098907,0.353751440726,0.125140081816,LinR,False,5,438,True,Right-Distance,,,2.15438037936,1.64647060596
