function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,6.02571678162,,,LogRC,False,4,19640,False,White King File,0.329491444867,0.476731160896,,
run_classifier,1.18016195297,,,DTC,False,4,19640,False,White King File,0.269011406844,0.502647657841,,
run_classifier,25.6715259552,,,RFC,False,4,19640,False,White King File,0.269011406844,0.502647657841,,
run_regressor,25.3041698933,,,RFR,False,4,19640,False,White King File,,,0.920025507549,0.449522581383
run_regressor,0.863609075546,,,LinR,False,4,19640,False,White King File,,,0.99915224026,0.526988197752
run_classifier,8.18288302422,0.321248305704,0.103200473917,LogRC,False,4,19640,True,White King Rank,0.504039923954,0.419450101833,,
run_classifier,1.37234401703,0.321248305704,0.103200473917,DTC,False,4,19640,True,White King Rank,0.396981939163,0.455855397149,,
run_classifier,24.9612100124,0.321248305704,0.103200473917,RFC,False,4,19640,True,White King Rank,0.396981939163,0.455855397149,,
run_regressor,25.6934659481,0.321248305704,0.103200473917,RFR,False,4,19640,True,White King Rank,,,0.74549075349,0.570507257212
run_regressor,0.882368087769,0.321248305704,0.103200473917,LinR,False,4,19640,True,White King Rank,,,0.700149933975,0.662805474951
run_classifier,13.9407329559,,,LogRC,False,8,19640,False,White Rook File,0.100760456274,0.138900203666,,
run_classifier,1.41757202148,,,DTC,False,8,19640,False,White Rook File,0.087927756654,0.144348268839,,
run_classifier,25.3139388561,,,RFC,False,8,19640,False,White Rook File,0.0851948669202,0.144653767821,,
run_regressor,25.8079240322,,,RFR,False,8,19640,False,White Rook File,,,5.6992282361,5.10656558846
run_regressor,0.889842987061,,,LinR,False,8,19640,False,White Rook File,,,5.69955091447,5.10184133624
run_classifier,14.9438500404,0.318066796689,0.101166487156,LogRC,False,8,19640,True,White Rook Rank,0.0721245247148,0.145875763747,,
run_classifier,1.4907450676,0.318066796689,0.101166487156,DTC,False,8,19640,True,White Rook Rank,0.0728374524715,0.149083503055,,
run_classifier,25.3698558807,0.318066796689,0.101166487156,RFC,False,8,19640,True,White Rook Rank,0.0728374524715,0.149032586558,,
run_regressor,26.0347850323,0.318066796689,0.101166487156,RFR,False,8,19640,True,White Rook Rank,,,5.82652855356,4.95155441259
run_regressor,0.872109889984,0.318066796689,0.101166487156,LinR,False,8,19640,True,White Rook Rank,,,5.80876108676,4.95529600657
run_classifier,14.5777630806,,,LogRC,False,8,19640,False,Black King File,0.056677756654,0.222556008147,,
run_classifier,1.63911104202,,,DTC,False,8,19640,False,Black King File,0.056677756654,0.222556008147,,
run_classifier,25.0299851894,,,RFC,False,8,19640,False,Black King File,0.056677756654,0.222556008147,,
run_regressor,26.1615169048,,,RFR,False,8,19640,False,Black King File,,,2.85534065113,5.78525116008
run_regressor,0.918631076813,,,LinR,False,8,19640,False,Black King File,,,2.90345236218,5.99976561338
run_classifier,14.6997978687,0.345861806343,0.119620389087,LogRC,False,8,19640,True,Black King Rank,0.0100998098859,0.182230142566,,
run_classifier,1.50671100616,0.345861806343,0.119620389087,DTC,False,8,19640,True,Black King Rank,0.0100998098859,0.182230142566,,
run_classifier,24.9663760662,0.345861806343,0.119620389087,RFC,False,8,19640,True,Black King Rank,0.0100998098859,0.182230142566,,
run_regressor,25.5084030628,0.345861806343,0.119620389087,RFR,False,8,19640,True,Black King Rank,,,3.24833851098,5.35134282407
run_regressor,0.943799972534,0.345861806343,0.119620389087,LinR,False,8,19640,True,Black King Rank,,,2.93162147216,5.67291641087
run_classifier,27.7579889297,,,LogRC,False,15,19640,False,Endgame,0.0,0.264918533605,,
run_classifier,1.80062413216,,,DTC,False,15,19640,False,Endgame,0.0412309885932,0.362067209776,,
run_classifier,25.8675658703,,,RFC,False,15,19640,False,Endgame,0.0444391634981,0.361201629328,,
run_regressor,25.5820310116,,,RFR,False,15,19640,False,Endgame,,,13.2753604781,33.2779873103
run_regressor,0.940587043762,,,LinR,False,15,19640,False,Endgame,,,12.6687934411,33.9494249119
