function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,497.330493927,,,LogRC,False,26,14000,False,lettr,0.614833333333,0.636714285714,,
run_classifier,14.4241809845,,,DTC,False,26,14000,False,lettr,0.857166666667,0.972357142857,,
run_classifier,156.813103914,,,RFC,False,26,14000,False,lettr,0.898166666667,0.976571428571,,
run_regressor,155.695757866,,,RFR,False,26,14000,False,lettr,,,7.79426546469,2.65774626813
run_regressor,4.69863915443,,,LinR,False,26,14000,False,lettr,,,41.6022652533,41.4370661545
run_classifier,271.910933018,0.127489500235,0.0162535726702,LogRC,False,15,14000,True,x-box,0.4795,0.471428571429,,
run_classifier,14.5664288998,0.127489500235,0.0162535726702,DTC,False,15,14000,True,x-box,0.684666666667,0.916714285714,,
run_classifier,155.134569168,0.127489500235,0.0162535726702,RFC,False,15,14000,True,x-box,0.7155,0.910357142857,,
run_regressor,161.527807951,0.127489500235,0.0162535726702,RFR,False,15,14000,True,x-box,,,0.256759156209,0.0958418471028
run_regressor,4.94063186646,0.127489500235,0.0162535726702,LinR,False,15,14000,True,x-box,,,0.630659629989,0.616202638748
run_classifier,290.947911024,0.220719438876,0.0487170706978,LogRC,False,16,14000,True,y-box,0.332666666667,0.335571428571,,
run_classifier,14.5494129658,0.220719438876,0.0487170706978,DTC,False,16,14000,True,y-box,0.5595,0.844357142857,,
run_classifier,156.784961939,0.220719438876,0.0487170706978,RFC,False,16,14000,True,y-box,0.562833333333,0.853785714286,,
run_regressor,159.449794769,0.220719438876,0.0487170706978,RFR,False,16,14000,True,y-box,,,1.56008435324,0.70781541543
run_regressor,4.65537500381,0.220719438876,0.0487170706978,LinR,False,16,14000,True,y-box,,,2.4306386519,2.44909013096
run_classifier,257.233143091,0.133707213768,0.0178776190136,LogRC,False,15,14000,True,width,0.432833333333,0.434,,
run_classifier,14.7694709301,0.133707213768,0.0178776190136,DTC,False,15,14000,True,width,0.658166666667,0.860285714286,,
run_classifier,152.969853163,0.133707213768,0.0178776190136,RFC,False,15,14000,True,width,0.682833333333,0.8705,,
run_regressor,152.831403971,0.133707213768,0.0178776190136,RFR,False,15,14000,True,width,,,0.273660600705,0.111720023256
run_regressor,5.1654920578,0.133707213768,0.0178776190136,LinR,False,15,14000,True,width,,,0.614236167858,0.605729842204
run_classifier,275.324176073,0.151262940902,0.0228804772903,LogRC,False,16,14000,True,high,0.431833333333,0.428142857143,,
run_classifier,14.524720192,0.151262940902,0.0228804772903,DTC,False,16,14000,True,high,0.7195,0.865071428571,,
run_classifier,151.368256092,0.151262940902,0.0228804772903,RFC,False,16,14000,True,high,0.7245,0.884285714286,,
run_regressor,154.802289009,0.151262940902,0.0228804772903,RFR,False,16,14000,True,high,,,0.386350025191,0.157120945518
run_regressor,5.27602696419,0.151262940902,0.0228804772903,LinR,False,16,14000,True,high,,,1.14759890932,1.17695695915
run_classifier,299.509174109,0.146318650404,0.0214091474561,LogRC,False,16,14000,True,onpix,0.398833333333,0.411071428571,,
run_classifier,16.3456139565,0.146318650404,0.0214091474561,DTC,False,16,14000,True,onpix,0.616333333333,0.904428571429,,
run_classifier,155.153083086,0.146318650404,0.0214091474561,RFC,False,16,14000,True,onpix,0.659333333333,0.9045,,
run_regressor,154.199589968,0.146318650404,0.0214091474561,RFR,False,16,14000,True,onpix,,,0.413002432081,0.152151278898
run_regressor,4.83884501457,0.146318650404,0.0214091474561,LinR,False,16,14000,True,onpix,,,0.902004341158,0.907789930161
run_classifier,289.992357016,0.134528079754,0.0180978042423,LogRC,False,16,14000,True,x-bar,0.356666666667,0.358285714286,,
run_classifier,15.147441864,0.134528079754,0.0180978042423,DTC,False,16,14000,True,x-bar,0.637666666667,0.870714285714,,
run_classifier,151.263486147,0.134528079754,0.0180978042423,RFC,False,16,14000,True,x-bar,0.67,0.881571428571,,
run_regressor,158.225961924,0.134528079754,0.0180978042423,RFR,False,16,14000,True,x-bar,,,0.372681026758,0.153946201239
run_regressor,5.20873093605,0.134528079754,0.0180978042423,LinR,False,16,14000,True,x-bar,,,2.96314537896,2.87539046513
run_classifier,283.222641945,0.154715038746,0.0239367432141,LogRC,False,16,14000,True,y-bar,0.3785,0.389642857143,,
run_classifier,15.6118209362,0.154715038746,0.0239367432141,DTC,False,16,14000,True,y-bar,0.608833333333,0.855214285714,,
run_classifier,151.795349836,0.154715038746,0.0239367432141,RFC,False,16,14000,True,y-bar,0.640333333333,0.872071428571,,
run_regressor,159.121434927,0.154715038746,0.0239367432141,RFR,False,16,14000,True,y-bar,,,0.4276222215,0.170662075377
run_regressor,4.6060090065,0.154715038746,0.0239367432141,LinR,False,16,14000,True,y-bar,,,2.47819967091,2.37994124543
run_classifier,269.291080952,0.179918213107,0.0323705634076,LogRC,False,16,14000,True,x2bar,0.271666666667,0.282285714286,,
run_classifier,15.5985450745,0.179918213107,0.0323705634076,DTC,False,16,14000,True,x2bar,0.621833333333,0.898642857143,,
run_classifier,152.161217928,0.179918213107,0.0323705634076,RFC,False,16,14000,True,x2bar,0.650166666667,0.893928571429,,
run_regressor,153.310647011,0.179918213107,0.0323705634076,RFR,False,16,14000,True,x2bar,,,0.484167593016,0.205820258935
run_regressor,4.73960399628,0.179918213107,0.0323705634076,LinR,False,16,14000,True,x2bar,,,5.61114923972,5.59993231407
run_classifier,285.85978508,0.158915684494,0.0252541947781,LogRC,False,16,14000,True,y2bar,0.290666666667,0.306571428571,,
run_classifier,16.2182528973,0.158915684494,0.0252541947781,DTC,False,16,14000,True,y2bar,0.599,0.874142857143,,
run_classifier,151.958065033,0.158915684494,0.0252541947781,RFC,False,16,14000,True,y2bar,0.623666666667,0.872571428571,,
run_regressor,157.14221096,0.158915684494,0.0252541947781,RFR,False,16,14000,True,y2bar,,,0.531930478252,0.201584100266
run_regressor,5.07926106453,0.158915684494,0.0252541947781,LinR,False,16,14000,True,y2bar,,,3.60433673488,3.55537884633
run_classifier,277.128010988,0.165308620524,0.0273269400195,LogRC,False,16,14000,True,xybar,0.352,0.362785714286,,
run_classifier,15.6636528969,0.165308620524,0.0273269400195,DTC,False,16,14000,True,xybar,0.656,0.893785714286,,
run_classifier,151.531891108,0.165308620524,0.0273269400195,RFC,False,16,14000,True,xybar,0.695833333333,0.892071428571,,
run_regressor,153.83813405,0.165308620524,0.0273269400195,RFR,False,16,14000,True,xybar,,,0.589756528901,0.214013212422
run_regressor,5.16308403015,0.165308620524,0.0273269400195,LinR,False,16,14000,True,xybar,,,4.52058685195,4.42997152086
run_classifier,300.587867975,0.175222346151,0.0307028705905,LogRC,False,16,14000,True,x2ybr,0.390166666667,0.405571428571,,
run_classifier,16.2219240665,0.175222346151,0.0307028705905,DTC,False,16,14000,True,x2ybr,0.6425,0.890642857143,,
run_classifier,152.100383043,0.175222346151,0.0307028705905,RFC,False,16,14000,True,x2ybr,0.678,0.888142857143,,
run_regressor,155.914513826,0.175222346151,0.0307028705905,RFR,False,16,14000,True,x2ybr,,,0.403399395427,0.146831324876
run_regressor,4.62306594849,0.175222346151,0.0307028705905,LinR,False,16,14000,True,x2ybr,,,3.03745141007,2.93337387744
run_classifier,265.624293089,0.137753400014,0.0189759992154,LogRC,False,16,14000,True,xy2br,0.344,0.358928571429,,
run_classifier,15.1948769093,0.137753400014,0.0189759992154,DTC,False,16,14000,True,xy2br,0.635833333333,0.882428571429,,
run_classifier,152.432387829,0.137753400014,0.0189759992154,RFC,False,16,14000,True,xy2br,0.654833333333,0.881571428571,,
run_regressor,155.401282072,0.137753400014,0.0189759992154,RFR,False,16,14000,True,xy2br,,,0.47895832635,0.169505444237
run_regressor,5.15977501869,0.137753400014,0.0189759992154,LinR,False,16,14000,True,xy2br,,,3.30346324525,3.1293885475
run_classifier,283.177741051,0.155569960445,0.0242020125927,LogRC,False,16,14000,True,x-ege,0.417333333333,0.421857142857,,
run_classifier,15.2210597992,0.155569960445,0.0242020125927,DTC,False,16,14000,True,x-ege,0.694666666667,0.905857142857,,
run_classifier,151.2691679,0.155569960445,0.0242020125927,RFC,False,16,14000,True,x-ege,0.721666666667,0.914714285714,,
run_regressor,154.60996604,0.155569960445,0.0242020125927,RFR,False,16,14000,True,x-ege,,,0.626939387685,0.211157771332
run_regressor,7.53561401367,0.155569960445,0.0242020125927,LinR,False,16,14000,True,x-ege,,,1.95295189858,1.91873271163
run_classifier,256.359848976,0.103320686385,0.0106751642351,LogRC,False,16,14000,True,xegvy,0.489833333333,0.493142857143,,
run_classifier,14.8071601391,0.103320686385,0.0106751642351,DTC,False,16,14000,True,xegvy,0.665333333333,0.909785714286,,
run_classifier,153.121114969,0.103320686385,0.0106751642351,RFC,False,16,14000,True,xegvy,0.696166666667,0.9095,,
run_regressor,156.823712111,0.103320686385,0.0106751642351,RFR,False,16,14000,True,xegvy,,,0.421926738481,0.159778629381
run_regressor,4.69578790665,0.103320686385,0.0106751642351,LinR,False,16,14000,True,xegvy,,,1.42426322057,1.42233033415
run_classifier,284.578329086,0.171735368266,0.0294930367135,LogRC,False,16,14000,True,y-ege,0.3055,0.314,,
run_classifier,15.3536500931,0.171735368266,0.0294930367135,DTC,False,16,14000,True,y-ege,0.6585,0.897785714286,,
run_classifier,150.782181025,0.171735368266,0.0294930367135,RFC,False,16,14000,True,y-ege,0.6905,0.903428571429,,
run_regressor,154.300132036,0.171735368266,0.0294930367135,RFR,False,16,14000,True,y-ege,,,0.478677265254,0.174565836005
run_regressor,5.1631090641,0.171735368266,0.0294930367135,LinR,False,16,14000,True,y-ege,,,3.45127914679,3.41077923303
run_classifier,252.221172094,0.114025208838,0.0130017482507,LogRC,False,15,14000,True,yegvx,0.407666666667,0.428285714286,,
run_classifier,15.2579090595,0.114025208838,0.0130017482507,DTC,False,15,14000,True,yegvx,0.631166666667,0.869357142857,,
run_classifier,152.163414001,0.114025208838,0.0130017482507,RFC,False,15,14000,True,yegvx,0.665333333333,0.888357142857,,
run_regressor,154.282634974,0.114025208838,0.0130017482507,RFR,False,15,14000,True,yegvx,,,0.566833829528,0.188754675536
run_regressor,4.63709807396,0.114025208838,0.0130017482507,LinR,False,15,14000,True,yegvx,,,2.17981826737,1.97480711645
