function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,3.13949894905,,,LogRC,False,3,9072,False,parents,0.0,0.524911816578,,
run_classifier,1.1088039875,,,DTC,False,3,9072,False,parents,0.0,0.5319664903,,
run_classifier,41.4344339371,,,RFC,False,3,9072,False,parents,0.0,0.5319664903,,
run_regressor,42.6554028988,,,RFR,False,3,9072,False,parents,,,2.03922642456,0.340253248948
run_regressor,0.801038980484,,,LinR,False,3,9072,False,parents,,,2.03474607736,0.340162064928
run_classifier,5.11491107941,,,LogRC,False,5,9072,False,has_nurs,0.111111111111,0.335097001764,,
run_classifier,1.08384394646,,,DTC,False,5,9072,False,has_nurs,0.203189300412,0.338403880071,,
run_classifier,42.0708110332,,,RFC,False,5,9072,False,has_nurs,0.203189300412,0.338403880071,,
run_regressor,43.173789978,,,RFR,False,5,9072,False,has_nurs,,,2.12403710863,1.95024356534
run_regressor,0.997137784958,,,LinR,False,5,9072,False,has_nurs,,,2.12238815088,1.95014232766
run_classifier,3.94918513298,,,LogRC,False,4,9072,False,form,0.230452674897,0.264991181658,,
run_classifier,1.18777298927,,,DTC,False,4,9072,False,form,0.256172839506,0.274691358025,,
run_classifier,41.7876751423,,,RFC,False,4,9072,False,form,0.256172839506,0.274691358025,,
run_regressor,43.0327401161,,,RFR,False,4,9072,False,form,,,1.2619958251,1.24823297675
run_regressor,0.839169979095,,,LinR,False,4,9072,False,form,,,1.26431610391,1.2478164268
run_classifier,4.46041989326,,,LogRC,False,4,9072,False,children,0.25,0.25,,
run_classifier,1.18127799034,,,DTC,False,4,9072,False,children,0.265432098765,0.26741622575,,
run_classifier,41.8950600624,,,RFC,False,4,9072,False,children,0.284465020576,0.271825396825,,
run_regressor,42.8551239967,,,RFR,False,4,9072,False,children,,,1.23617684218,1.21374922678
run_regressor,0.87352013588,,,LinR,False,4,9072,False,children,,,1.25005722758,1.25005722758
run_classifier,3.74951910973,,,LogRC,False,3,9072,False,housing,0.333333333333,0.333333333333,,
run_classifier,1.1810438633,,,DTC,False,3,9072,False,housing,0.377314814815,0.387345679012,,
run_classifier,42.0305080414,,,RFC,False,3,9072,False,housing,0.394547325103,0.368386243386,,
run_regressor,42.764811039,,,RFR,False,3,9072,False,housing,,,0.656299499294,0.651263159018
run_regressor,0.956079006195,,,LinR,False,3,9072,False,housing,,,0.666791918521,0.666791918521
run_classifier,1.39567494392,,,LogRC,False,2,9072,False,finance,0.5,0.5,,
run_classifier,1.15826392174,,,DTC,False,2,9072,False,finance,0.5295781893,0.530423280423,,
run_classifier,41.9170308113,,,RFC,False,2,9072,False,finance,0.519547325103,0.5305335097,,
run_regressor,43.0273020267,,,RFR,False,2,9072,False,finance,,,0.24657093263,0.245931495349
run_regressor,0.850505113602,,,LinR,False,2,9072,False,finance,,,0.25000766496,0.25000766496
run_classifier,3.69673013687,,,LogRC,False,3,9072,False,social,0.333333333333,0.333333333333,,
run_classifier,1.13972783089,,,DTC,False,3,9072,False,social,0.365226337449,0.37323633157,,
run_classifier,41.7647969723,,,RFC,False,3,9072,False,social,0.358024691358,0.372354497354,,
run_regressor,42.8425269127,,,RFR,False,3,9072,False,social,,,0.666695365955,0.666695365955
run_regressor,0.949261903763,,,LinR,False,3,9072,False,social,,,0.666695456333,0.666695456333
run_classifier,4.01163101196,,,LogRC,False,3,9072,False,health,0.767489711934,0.684964726631,,
run_classifier,1.20793104172,,,DTC,False,3,9072,False,health,0.738683127572,0.751322751323,,
run_classifier,41.9113771915,,,RFC,False,3,9072,False,health,0.728909465021,0.744378306878,,
run_regressor,43.146625042,,,RFR,False,3,9072,False,health,,,0.163823023502,0.142122370309
run_regressor,0.935080051422,,,LinR,False,3,9072,False,health,,,0.416223692809,0.415205460673
run_classifier,6.43256282806,,,LogRC,False,5,9072,False,class,0.506687242798,0.729276895944,,
run_classifier,1.19703292847,,,DTC,False,5,9072,False,class,0.715534979424,0.880070546737,,
run_classifier,42.5567781925,,,RFC,False,5,9072,False,class,0.715534979424,0.880070546737,,
run_regressor,43.1964478493,,,RFR,False,5,9072,False,class,,,0.799387918946,0.473938623414
run_regressor,0.843575954437,,,LinR,False,5,9072,False,class,,,1.2676255423,0.957076757975
