function,runtime_seconds,dataset,num_rows,target_stdev,original_num_rows,original_num_cols,SFS,algo,target_is_continuous,target_num_unique,target_variance,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse,test_R2_score,training_R2_score
run_classifier,0.270205020905,nursery,9072,,12960,9,False,LogRC,False,3,,False,parents,0.0,0.524029982363,,,,
run_classifier,0.148982048035,nursery,9072,,12960,9,False,DTC,False,3,,False,parents,0.102880658436,0.555004409171,,,,
run_classifier,2.01377511024,nursery,9072,,12960,9,False,RFC,False,3,,False,parents,0.0,0.554453262787,,,,
run_regressor,2.16625404358,nursery,9072,,12960,9,False,RFR,False,3,,False,parents,,,1.91775335927,0.295622352531,0.0,0.130870283558
run_regressor,0.0543811321259,nursery,9072,,12960,9,False,LinR,False,3,,False,parents,,,2.03046777777,0.332905759924,0.0,0.0212570658221
run_classifier,0.517216920853,nursery,9072,,12960,9,False,LogRC,False,5,,False,has_nurs,0.133230452675,0.325176366843,,,,
run_classifier,0.172654867172,nursery,9072,,12960,9,False,DTC,False,5,,False,has_nurs,0.111111111111,0.364307760141,,,,
run_classifier,1.99681806564,nursery,9072,,12960,9,False,RFC,False,5,,False,has_nurs,0.111111111111,0.364197530864,,,,
run_regressor,2.15516996384,nursery,9072,,12960,9,False,RFR,False,5,,False,has_nurs,,,3.33333333333,1.94833845841,-0.588235294118,0.000910162603858
run_regressor,0.0750539302826,nursery,9072,,12960,9,False,LinR,False,5,,False,has_nurs,,,2.33256166939,1.9312722185,-0.111397030707,0.0096615716743
run_classifier,0.410443782806,nursery,9072,,12960,9,False,LogRC,False,4,,False,form,0.224022633745,0.262455908289,,,,
run_classifier,0.162636995316,nursery,9072,,12960,9,False,DTC,False,4,,False,form,0.228137860082,0.28549382716,,,,
run_classifier,1.96331691742,nursery,9072,,12960,9,False,RFC,False,4,,False,form,0.227109053498,0.284281305115,,,,
run_regressor,2.11671614647,nursery,9072,,12960,9,False,RFR,False,4,,False,form,,,2.4170958429,1.28405023046,-0.952965219702,-0.0291070452236
run_regressor,0.0551729202271,nursery,9072,,12960,9,False,LinR,False,4,,False,form,,,1.41497311634,1.23355903301,-0.143270049116,0.0113593211095
run_classifier,0.403532981873,nursery,9072,,12960,9,False,LogRC,False,4,,False,children,0.254886831276,0.250220458554,,,,
run_classifier,0.162816047668,nursery,9072,,12960,9,False,DTC,False,4,,False,children,0.273405349794,0.283840388007,,,,
run_classifier,1.97134304047,nursery,9072,,12960,9,False,RFC,False,4,,False,children,0.27700617284,0.283509700176,,,,
run_regressor,2.17524909973,nursery,9072,,12960,9,False,RFR,False,4,,False,children,,,1.28785190276,1.26741487331,-0.0302815222072,-0.0139318986508
run_regressor,0.0910038948059,nursery,9072,,12960,9,False,LinR,False,4,,False,children,,,1.24804300005,1.25027211845,0.00156559996222,-0.000217694757675
run_classifier,0.353115081787,nursery,9072,,12960,9,False,LogRC,False,3,,False,housing,0.368055555556,0.339065255732,,,,
run_classifier,0.188627958298,nursery,9072,,12960,9,False,DTC,False,3,,False,housing,0.387602880658,0.38921957672,,,,
run_classifier,1.9454870224,nursery,9072,,12960,9,False,RFC,False,3,,False,housing,0.384516460905,0.388558201058,,,,
run_regressor,2.14660406113,nursery,9072,,12960,9,False,RFR,False,3,,False,housing,,,0.692704297215,0.71453911267,-0.039056445823,-0.0718086690054
run_regressor,0.112478017807,nursery,9072,,12960,9,False,LinR,False,3,,False,housing,,,0.665475961745,0.666772573566,0.00178605738268,-0.000158860349084
run_classifier,0.117374897003,nursery,9072,,12960,9,False,LogRC,False,2,,False,finance,0.501800411523,0.500440917108,,,,
