function,runtime_seconds,dataset,num_rows,target_stdev,original_num_rows,original_num_cols,SFS,algo,target_is_continuous,target_num_unique,target_variance,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse,test_R2_score,training_R2_score
run_classifier,4.77731919289,chess-krk,19640,,28056,7,True,LogRC,False,4,,False,White King File,0.329491444867,0.476731160896,,,,
run_classifier,2.91168403625,chess-krk,19640,,28056,7,True,DTC,False,4,,False,White King File,0.269011406844,0.502647657841,,,,
run_classifier,9.56137108803,chess-krk,19640,,28056,7,True,RFC,False,4,,False,White King File,0.269011406844,0.502647657841,,,,
run_regressor,10.1511571407,chess-krk,19640,,28056,7,True,RFR,False,4,,False,White King File,,,0.913811889416,0.449286985758,0.182809191518,0.382453780629
run_regressor,2.98760414124,chess-krk,19640,,28056,7,True,LinR,False,4,,False,White King File,,,1.00144066554,0.5269227447,0.104445765479,0.275743212678
run_classifier,5.4259428978,chess-krk,19640,0.321248305704,28056,7,True,LogRC,False,4,0.103200473917,True,White King Rank,0.504039923954,0.419450101833,,,,
run_classifier,3.17046117783,chess-krk,19640,0.321248305704,28056,7,True,DTC,False,4,0.103200473917,True,White King Rank,0.396981939163,0.455855397149,,,,
run_classifier,9.83758616447,chess-krk,19640,0.321248305704,28056,7,True,RFC,False,4,0.103200473917,True,White King Rank,0.396981939163,0.455855397149,,,,
run_regressor,9.62960600853,chess-krk,19640,0.321248305704,28056,7,True,RFR,False,4,0.103200473917,True,White King Rank,,,0.753802964556,0.678717796057,-2.33637650396,0.269219165825
run_regressor,2.99431705475,chess-krk,19640,0.321248305704,28056,7,True,LinR,False,4,0.103200473917,True,White King Rank,,,0.71174180982,0.662835582933,-2.15021134544,0.286319670664
run_classifier,7.11438298225,chess-krk,19640,,28056,7,True,LogRC,False,8,,False,White Rook File,0.100760456274,0.138900203666,,,,
run_classifier,3.14728498459,chess-krk,19640,,28056,7,True,DTC,False,8,,False,White Rook File,0.085788973384,0.144399185336,,,,
run_classifier,9.69763493538,chess-krk,19640,,28056,7,True,RFC,False,8,,False,White Rook File,0.0851948669202,0.144653767821,,,,
run_regressor,9.97524309158,chess-krk,19640,,28056,7,True,RFR,False,8,,False,White Rook File,,,5.70523540739,5.10223925879,-0.00379704960239,0.00114403449467
run_regressor,2.66124391556,chess-krk,19640,,28056,7,True,LinR,False,8,,False,White Rook File,,,5.70484517283,5.1020959521,-0.00372839050834,0.00117208938129
run_classifier,7.18791389465,chess-krk,19640,0.318066796689,28056,7,True,LogRC,False,8,0.101166487156,True,White Rook Rank,0.0721245247148,0.145875763747,,,,
run_classifier,3.11904096603,chess-krk,19640,0.318066796689,28056,7,True,DTC,False,8,0.101166487156,True,White Rook Rank,0.0728374524715,0.149032586558,,,,
run_classifier,9.67389011383,chess-krk,19640,0.318066796689,28056,7,True,RFC,False,8,0.101166487156,True,White Rook Rank,0.0728374524715,0.149032586558,,,,
run_regressor,9.6860229969,chess-krk,19640,0.318066796689,28056,7,True,RFR,False,8,0.101166487156,True,White Rook Rank,,,5.82229617262,4.95168166233,-0.00374506776146,0.00105384442693
run_regressor,3.11159586906,chess-krk,19640,0.318066796689,28056,7,True,LinR,False,8,0.101166487156,True,White Rook Rank,,,5.80853127588,4.95522119773,-0.00137204399146,0.000339782917435
run_classifier,7.19200205803,chess-krk,19640,,28056,7,True,LogRC,False,8,,False,Black King File,0.056677756654,0.222556008147,,,,
run_classifier,3.11209201813,chess-krk,19640,,28056,7,True,DTC,False,8,,False,Black King File,0.056677756654,0.222556008147,,,,
run_classifier,9.67864608765,chess-krk,19640,,28056,7,True,RFC,False,8,,False,Black King File,0.056677756654,0.222556008147,,,,
run_regressor,9.88639712334,chess-krk,19640,,28056,7,True,RFR,False,8,,False,Black King File,,,2.8544838635,5.7858175718,0.0559587833141,0.0840648783421
run_regressor,2.89091086388,chess-krk,19640,,28056,7,True,LinR,False,8,,False,Black King File,,,2.91389162117,5.99972434814,0.0363113183045,0.0502019494166
run_classifier,7.63894295692,chess-krk,19640,0.345861806343,28056,7,True,LogRC,False,8,0.119620389087,True,Black King Rank,0.0100998098859,0.182230142566,,,,
run_classifier,3.63881802559,chess-krk,19640,0.345861806343,28056,7,True,DTC,False,8,0.119620389087,True,Black King Rank,0.0100998098859,0.182230142566,,,,
run_classifier,10.1108789444,chess-krk,19640,0.345861806343,28056,7,True,RFC,False,8,0.119620389087,True,Black King Rank,0.0100998098859,0.182230142566,,,,
run_regressor,9.85386419296,chess-krk,19640,0.345861806343,28056,7,True,RFR,False,8,0.119620389087,True,Black King Rank,,,3.221583417,5.35153334839,-0.136522318166,0.0869405437134
run_regressor,2.86627817154,chess-krk,19640,0.345861806343,28056,7,True,LinR,False,8,0.119620389087,True,Black King Rank,,,2.91940430309,5.6728168174,-0.0299184334967,0.0321243087323
run_classifier,11.1900770664,chess-krk,19640,,28056,7,True,LogRC,False,15,,False,Endgame,0.0,0.264765784114,,,,
run_classifier,3.40949606895,chess-krk,19640,,28056,7,True,DTC,False,15,,False,Endgame,0.0455085551331,0.363849287169,,,,
run_classifier,10.0895459652,chess-krk,19640,,28056,7,True,RFC,False,15,,False,Endgame,0.0406368821293,0.361914460285,,,,
run_regressor,10.1521718502,chess-krk,19640,,28056,7,True,RFR,False,15,,False,Endgame,,,13.0726415817,33.6918662163,-0.212045322185,0.00777220121451
run_regressor,2.61247086525,chess-krk,19640,,28056,7,True,LinR,False,15,,False,Endgame,,,12.6383666011,33.9498927688,-0.171781007167,0.000173301330904
