function,runtime_seconds,dataset,num_rows,target_stdev,original_num_rows,original_num_cols,SFS,algo,target_is_continuous,target_num_unique,target_variance,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse,test_R2_score,training_R2_score
run_regressor,5.41528296471,iris,105,0.236890430265,150,5,True,RFR,True,29,0.0561170759513,True,sepal length,,,0.277095946922,0.0412687812325,0.334488587284,0.905296395949
run_regressor,1.24308300018,iris,105,0.236890430265,150,5,True,LinR,True,29,0.0561170759513,True,sepal length,,,0.148812124987,0.0929705423194,0.642592507652,0.786651188494
run_regressor,5.42385911942,iris,105,0.19460490719,150,5,True,RFR,True,23,0.0378710699023,True,sepal width,,,0.111265798628,0.0472199513705,-0.0201631903569,0.781449684786
run_regressor,1.22406506538,iris,105,0.19460490719,150,5,True,LinR,True,23,0.0378710699023,True,sepal width,,,0.112775252901,0.100776164256,-0.0340029300252,0.533572953277
run_regressor,5.38513302803,iris,105,0.307632695691,150,5,True,RFR,True,32,0.0946378754579,True,petal length,,,0.29861457476,0.0244214440917,0.0619946733334,0.989578690117
run_regressor,1.24212908745,iris,105,0.307632695691,150,5,True,LinR,True,32,0.0946378754579,True,petal length,,,0.534318376537,0.0883952472529,-0.678395917985,0.962279287813
run_regressor,5.49650192261,iris,105,0.259314670804,150,5,True,RFR,True,19,0.0672440984941,True,petal width,,,0.130472098765,0.00840784808696,-0.74439455962,0.97808385541
run_regressor,1.21218585968,iris,105,0.259314670804,150,5,True,LinR,True,19,0.0672440984941,True,petal width,,,0.0809264471966,0.0143005818628,-0.0819758059756,0.9627236819
run_classifier,1.20062208176,iris,105,,150,5,True,LogRC,False,3,,False,class,0.0,0.952380952381,,,,
run_classifier,1.23537778854,iris,105,,150,5,True,DTC,False,3,,False,class,0.8,0.990476190476,,,,
run_classifier,5.28058886528,iris,105,,150,5,True,RFC,False,3,,False,class,0.577777777778,1.0,,,,
run_regressor,5.47512984276,iris,105,,150,5,True,RFR,False,3,,False,class,,,0.154469135802,0.00228571428571,0.0,0.99328
run_regressor,1.21526503563,iris,105,,150,5,True,LinR,False,3,,False,class,,,0.237438350593,0.0209534607911,0.0,0.938396825274
