function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse,colums,rows,SFS,dataset
run_classifier,1.753855944,,,LogRC,FALSE,3,2924,FALSE,Sex,0.545889864,0.540355677,,,9,4177,TRUE,abalone
run_classifier,1.235383987,,,DTC,FALSE,3,2924,FALSE,Sex,0.509177973,0.534541724,,,9,4177,TRUE,abalone
run_classifier,41.51300693,,,RFC,FALSE,3,2924,FALSE,Sex,0.495610535,0.529753762,,,9,4177,TRUE,abalone
run_regressor,40.78104019,,,RFR,FALSE,3,2924,FALSE,Sex,,,0.694058927,0.671155764,9,4177,TRUE,abalone
run_regressor,0.630671024,,,LinR,FALSE,3,2924,FALSE,Sex,,,0.675654585,0.666668294,9,4177,TRUE,abalone
run_regressor,41.52050495,0.163833868,0.026841536,RFR,TRUE,134,2924,TRUE,Length,,,0.000347295,0.000114807,9,4177,TRUE,abalone
run_regressor,0.5892241,0.163833868,0.026841536,LinR,TRUE,134,2924,TRUE,Length,,,0.000349245,0.000356868,9,4177,TRUE,abalone
run_regressor,41.48199511,0.16863438,0.028437554,RFR,TRUE,110,2924,TRUE,Diameter,,,0.00026143,7.62E-05,9,4177,TRUE,abalone
run_regressor,0.629809856,0.16863438,0.028437554,LinR,TRUE,110,2924,TRUE,Diameter,,,0.000242582,0.000233277,9,4177,TRUE,abalone
run_regressor,41.50265813,0.038491343,0.001481583,RFR,TRUE,51,2924,TRUE,Height,,,0.000281273,0.00063648,9,4177,TRUE,abalone
run_regressor,0.587883949,0.038491343,0.001481583,LinR,TRUE,51,2924,TRUE,Height,,,0.000204811,0.000605577,9,4177,TRUE,abalone
run_regressor,40.84940195,0.174585875,0.030480228,RFR,TRUE,1971,2924,TRUE,Whole weight,,,0.002962754,0.000956105,9,4177,TRUE,abalone
run_regressor,0.508971214,0.174585875,0.030480228,LinR,TRUE,1971,2924,TRUE,Whole weight,,,0.002419301,0.001990061,9,4177,TRUE,abalone
run_regressor,40.54317808,0.15025485,0.02257652,RFR,TRUE,1359,2924,TRUE,Shucked weight,,,0.001908891,0.000593814,9,4177,TRUE,abalone
run_regressor,0.56692791,0.15025485,0.02257652,LinR,TRUE,1359,2924,TRUE,Shucked weight,,,0.001745883,0.001521078,9,4177,TRUE,abalone
run_regressor,40.63394904,0.144067684,0.020755498,RFR,TRUE,822,2924,TRUE,Viscera weight,,,0.000750081,0.000241996,9,4177,TRUE,abalone
run_regressor,0.690465927,0.144067684,0.020755498,LinR,TRUE,822,2924,TRUE,Viscera weight,,,0.000753387,0.000671217,9,4177,TRUE,abalone
run_regressor,41.47454715,0.140366536,0.019702764,RFR,TRUE,801,2924,TRUE,Shell weight,,,0.001241874,0.000368184,9,4177,TRUE,abalone
run_regressor,0.56061101,0.140366536,0.019702764,LinR,TRUE,801,2924,TRUE,Shell weight,,,0.001032962,0.000885145,9,4177,TRUE,abalone
run_classifier,10.39868617,0.11966347,0.014319346,LogRC,FALSE,27,2924,TRUE,Rings,0.241021548,0.248974008,,,9,4177,TRUE,abalone
run_classifier,1.627322197,0.11966347,0.014319346,DTC,FALSE,27,2924,TRUE,Rings,0.236233041,0.268467852,,,9,4177,TRUE,abalone
run_classifier,41.49643016,0.11966347,0.014319346,RFC,FALSE,27,2924,TRUE,Rings,0.238627294,0.270861833,,,9,4177,TRUE,abalone
