;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
0;7.4;;;;;11.0;;;3.51;0.56;;5.0
1;7.8;;;;;;67.0;;3.2;;;5.0
2;7.8;0.76;;2.3;0.092;15.0;;;;;9.8;
3;;0.28;0.56;;;17.0;60.0;0.998;;0.58;9.8;6.0
4;;0.7;;1.9;;;;0.9978;3.51;0.56;9.4;5.0
5;7.4;0.66;;;;;40.0;0.9978;;;;5.0
6;;0.6;;;0.069;15.0;59.0;;;;;
7;7.3;0.65;;;;;21.0;;;0.47;10.0;
8;7.8;;;;;9.0;18.0;0.9968;3.36;0.57;;7.0
9;;0.5;;;0.071;17.0;102.0;;;;10.5;5.0
10;6.7;0.58;0.08;;;;;;3.28;0.54;9.2;5.0
11;;;0.36;6.1;;;102.0;0.9978;;;;5.0
12;5.6;;0.0;;0.089;;;;;0.52;;
13;7.8;0.61;0.29;1.6;0.114;9.0;29.0;;3.26;1.56;;5.0
14;8.9;;;3.8;;52.0;;0.9986;3.16;0.88;;
15;8.9;;;3.9;;;;0.9986;;;9.2;5.0
16;8.5;0.28;0.56;1.8;;;;0.9969;3.3;;10.5;
17;8.1;0.56;;1.7;0.368;16.0;;;3.11;;9.3;5.0
18;7.4;0.59;0.08;;;;;;;0.5;;4.0
19;;;;1.8;0.341;17.0;;;;;9.2;6.0
20;;;0.48;;0.077;;;0.9968;3.39;0.53;9.4;6.0
21;;0.39;;2.3;;23.0;;0.9982;;0.65;9.7;
22;7.9;;;;;10.0;;;;;9.5;
23;8.5;0.49;;2.3;;9.0;67.0;;3.17;0.53;9.4;
24;6.9;;0.14;;0.085;;;;;0.63;9.7;
25;;;0.16;;0.08;11.0;23.0;0.9955;3.34;0.56;;
26;7.6;0.41;0.24;1.8;;;11.0;;3.28;;9.5;5.0
27;;;;;;;37.0;0.9966;3.17;;;
28;;;0.0;1.9;;14.0;35.0;;;;;
29;;;0.0;;;;16.0;0.9964;;0.59;9.8;6.0
30;6.7;;0.07;2.4;0.089;;82.0;0.9958;3.35;;;5.0
31;6.9;;0.0;2.5;0.105;22.0;37.0;;3.46;;;6.0
32;;0.655;0.12;2.3;;;113.0;;3.17;0.66;9.8;
33;6.9;;;;;40.0;;0.9993;3.45;0.52;;
34;;;0.25;1.8;0.103;;50.0;0.9957;;0.55;;5.0
35;;0.645;0.0;5.5;;;18.0;;3.4;0.55;9.6;6.0
36;7.8;0.6;;;0.086;;15.0;0.9975;3.42;;10.8;
37;8.1;;0.28;2.1;;13.0;;0.9968;3.23;;;
38;;;;1.5;0.172;7.0;19.0;0.994;;;;
39;7.3;0.45;;5.9;0.074;12.0;87.0;0.9978;3.33;;;
40;;0.45;0.36;5.9;;;87.0;;;;;5.0
41;8.8;;0.3;;;;46.0;0.9976;3.26;;;4.0
42;;0.49;0.2;;0.332;;14.0;;3.21;0.9;;
43;;0.66;0.22;;0.069;9.0;;0.9968;3.3;1.2;10.3;5.0
44;6.8;0.67;;;;;11.0;0.9962;3.48;0.52;9.5;
45;4.6;;0.15;2.1;;;;0.9934;3.9;;13.1;4.0
46;7.7;0.935;0.43;2.2;0.114;22.0;114.0;;3.25;;9.2;5.0
47;8.7;0.29;;1.6;0.113;12.0;37.0;;3.25;;9.5;5.0
48;;;;;;;12.0;0.9958;3.34;0.56;;5.0
49;;;0.37;1.4;;;96.0;;3.32;0.58;;
50;8.8;0.66;;1.7;;4.0;23.0;;;0.74;;5.0
51;6.6;;0.04;;;8.0;15.0;;;;9.4;6.0
52;;;0.04;;0.068;;14.0;0.9955;;;9.4;
53;;0.38;;;;;;0.997;3.2;0.56;;5.0
54;;;0.15;;0.11;;73.0;0.9955;;0.63;10.2;
55;;;0.04;;;;;;3.34;;;5.0
56;10.2;;;;;4.0;;;3.04;0.63;9.6;
57;;;0.12;5.1;0.111;50.0;110.0;;;0.77;9.4;5.0
58;;;0.18;2.3;;;54.0;;;;10.0;5.0
59;7.3;;;2.4;0.074;9.0;46.0;;;0.54;;
60;8.8;0.4;;;0.079;19.0;;0.998;3.44;0.64;9.2;
61;;;0.49;;;;112.0;0.9968;;;;5.0
62;;0.52;;;;12.0;;0.9968;3.38;0.62;;7.0
63;7.0;;;;;13.0;;;3.39;0.57;9.8;5.0
64;7.2;;;4.65;0.086;;;;3.41;0.39;10.9;5.0
65;;0.725;0.05;4.65;;4.0;;;;;;5.0
66;;0.52;;;0.079;;;0.9968;3.42;0.58;;
67;6.6;0.705;0.07;;;;15.0;;3.44;;;5.0
68;;0.32;;;0.074;;65.0;;;0.79;;
69;8.0;0.705;;1.9;;8.0;19.0;0.9962;;0.95;;6.0
70;7.7;;;;0.076;15.0;;;;;;
71;;;;;;;;;3.32;;9.5;5.0
